Distance_km,Fuel_Price,Time_of_Day,Weather,Vehicle_Type,Actual_Fare_PHP
4.4,?100 & up,Rush Hour Morning,Sunny,Single Motor,45
7.51,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.59,?30-39,Off-Peak,Sunny,Single Motor,25
13.86,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.13,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.79,?60-69,Off-Peak,Sunny,Single Motor,47
8.74,?90-99,Rush Hour Morning,Rainy,Single Motor,75
2.41,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.23,?70-79,Off-Peak,Sunny,Tricycle,35
6.6,?100 & up,Rush Hour Morning,Sunny,Single Motor,56
10.01,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.33,?30-39,Off-Peak,Sunny,Tricycle,15
12.13,?40-49,Rush Hour Morning,Sunny,Single Motor,78
7.86,?50-59,Rush Hour Evening,Rainy,Single Motor,69
1.08,?60-69,Off-Peak,Sunny,Tricycle,17
14.37,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.88,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.26,?70-79,Off-Peak,Rainy,Single Motor,73
5.05,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.22,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.99,?30-39,Off-Peak,Rainy,Tricycle,24
10.04,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.15,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.93,?60-69,Off-Peak,Sunny,Tricycle,42
3.43,?90-99,Rush Hour Morning,Rainy,Single Motor,49
1.12,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.91,?70-79,Off-Peak,Rainy,Single Motor,92
4.53,?100 & up,Rush Hour Morning,Sunny,Single Motor,46
7.69,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.81,?30-39,Off-Peak,Sunny,Single Motor,26
13.58,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.59,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.47,?60-69,Off-Peak,Sunny,Single Motor,45
8.35,?90-99,Rush Hour Morning,Rainy,Single Motor,73
2.61,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.6,?70-79,Off-Peak,Sunny,Tricycle,35
6.97,?100 & up,Rush Hour Morning,Sunny,Single Motor,59
10.69,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.04,?30-39,Off-Peak,Sunny,Tricycle,14
12.68,?40-49,Rush Hour Morning,Sunny,Single Motor,81
7.19,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.46,?60-69,Off-Peak,Sunny,Tricycle,17
14.04,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.17,?20-29,Rush Hour Evening,Sunny,Single Motor,38
8.86,?70-79,Off-Peak,Rainy,Single Motor,77
5.67,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.79,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.22,?30-39,Off-Peak,Rainy,Tricycle,24
10.39,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.43,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.25,?60-69,Off-Peak,Sunny,Tricycle,40
3.96,?90-99,Rush Hour Morning,Rainy,Single Motor,52
0.57,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.4,?70-79,Off-Peak,Rainy,Single Motor,90
4.83,?100 & up,Rush Hour Morning,Sunny,Single Motor,48
7.36,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.01,?30-39,Off-Peak,Sunny,Single Motor,24
13.36,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.06,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.84,?60-69,Off-Peak,Sunny,Single Motor,47
8.52,?90-99,Rush Hour Morning,Rainy,Single Motor,74
2.88,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.4,?70-79,Off-Peak,Sunny,Tricycle,35
6.26,?100 & up,Rush Hour Morning,Sunny,Single Motor,54
10.94,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.71,?30-39,Off-Peak,Sunny,Tricycle,15
12.21,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.66,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.97,?60-69,Off-Peak,Sunny,Tricycle,17
14.45,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.45,?20-29,Rush Hour Evening,Sunny,Single Motor,39
8.13,?70-79,Off-Peak,Rainy,Single Motor,72
5.33,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.15,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.47,?30-39,Off-Peak,Rainy,Tricycle,24
10.73,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.75,?50-59,Rush Hour Evening,Sunny,Single Motor,52
14.53,?60-69,Off-Peak,Sunny,Tricycle,42
3.25,?90-99,Rush Hour Morning,Rainy,Single Motor,48
0.9,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.52,?70-79,Off-Peak,Rainy,Single Motor,90
4.14,?100 & up,Rush Hour Morning,Sunny,Single Motor,44
7.88,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.62,?30-39,Off-Peak,Sunny,Single Motor,26
13.05,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.89,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.54,?60-69,Off-Peak,Sunny,Single Motor,46
8.07,?90-99,Rush Hour Morning,Rainy,Single Motor,71
2.16,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.96,?70-79,Off-Peak,Sunny,Tricycle,36
6.61,?100 & up,Rush Hour Morning,Sunny,Single Motor,56
10.26,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.49,?30-39,Off-Peak,Sunny,Tricycle,15
12.89,?40-49,Rush Hour Morning,Sunny,Single Motor,82
7.43,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.35,?60-69,Off-Peak,Sunny,Tricycle,17
14.87,?90-99,Rush Hour Morning,Sunny,Tricycle,44
4.97,?20-29,Rush Hour Evening,Sunny,Single Motor,42
8.63,?70-79,Off-Peak,Rainy,Single Motor,75
5.98,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.53,?80-89,Rush Hour Evening,Sunny,Single Motor,69
2.76,?30-39,Off-Peak,Rainy,Tricycle,24
10.42,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.24,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.18,?60-69,Off-Peak,Sunny,Tricycle,40
3.62,?90-99,Rush Hour Morning,Rainy,Single Motor,50
